pair_id,coder1_category,coder2_category,disagreement,prudential8_q,prudential8_a,seed_topic_q
hsbc_2024-interim_007,untagged,business_model_strategy,1,untagged,business_model_strategy,untagged
hsbc_2024-q1_003,market_traded_risk,business_model_strategy,1,market_traded_risk,business_model_strategy,untagged
hsbc_2024-q3_008,market_traded_risk,business_model_strategy,1,market_traded_risk,business_model_strategy,untagged
hsbc_2025-annual_007,operational_efficiency,business_model_strategy,1,operational_efficiency,business_model_strategy,efficiency
hsbc_2025-interim_003,asset_quality_credit,asset_quality_credit,0,asset_quality_credit,asset_quality_credit,mixed
hsbc_2025-interim_008,capital_adequacy,capital_adequacy,0,capital_adequacy,capital_adequacy,mixed
hsbc_2025-q1_002,profitability_earnings,market_traded_risk,1,profitability_earnings,market_traded_risk,mixed
hsbc_2025-q1_003,profitability_earnings,profitability_earnings,0,profitability_earnings,profitability_earnings,mixed
hsbc_2025-q1_006,profitability_earnings,profitability_earnings,0,profitability_earnings,profitability_earnings,mixed
hsbc_2025-q1_009,profitability_earnings,profitability_earnings,0,profitability_earnings,profitability_earnings,mixed
hsbc_2025-q1_010,business_model_strategy,business_model_strategy,0,business_model_strategy,business_model_strategy,untagged
hsbc_2025-q1_011,asset_quality_credit,capital_adequacy,1,asset_quality_credit,capital_adequacy,asset_quality
hsbc_2025-q3_002,market_traded_risk,profitability_earnings,1,market_traded_risk,profitability_earnings,profitability
hsbc_2025-q3_003,asset_quality_credit,asset_quality_credit,0,asset_quality_credit,asset_quality_credit,mixed
hsbc_2025-q3_008,asset_quality_credit,business_model_strategy,1,asset_quality_credit,business_model_strategy,asset_quality
hsbc_2025-q3_010,asset_quality_credit,asset_quality_credit,0,asset_quality_credit,untagged,asset_quality
hsbc_2026-interim_001,business_model_strategy,profitability_earnings,1,business_model_strategy,profitability_earnings,efficiency
hsbc_2026-interim_003,business_model_strategy,profitability_earnings,1,business_model_strategy,profitability_earnings,untagged
hsbc_2026-interim_006,operational_efficiency,business_model_strategy,1,operational_efficiency,business_model_strategy,mixed
hsbc_2026-interim_008,operational_efficiency,profitability_earnings,1,operational_efficiency,profitability_earnings,mixed
hsbc_2026-q1_001,business_model_strategy,profitability_earnings,1,business_model_strategy,profitability_earnings,untagged
hsbc_2026-q1_002,business_model_strategy,business_model_strategy,0,business_model_strategy,business_model_strategy,mixed
hsbc_2026-q1_005,asset_quality_credit,business_model_strategy,1,asset_quality_credit,business_model_strategy,asset_quality
hsbc_2026-q1_008,business_model_strategy,asset_quality_credit,1,business_model_strategy,asset_quality_credit,efficiency
