pair_id,bank,quarter,prudential8_q,prudential8_a,seed_topic_q,coder1_category,coder2_category,disagreement
barclays_2025-annual_005,barclays,2025-annual,capital_adequacy,market_traded_risk,mixed,capital_adequacy,market_traded_risk,1
barclays_2025-annual_006,barclays,2025-annual,capital_adequacy,profitability_earnings,mixed,capital_adequacy,profitability_earnings,1
barclays_2025-annual_007,barclays,2025-annual,capital_adequacy,capital_adequacy,capital,capital_adequacy,capital_adequacy,0
barclays_2025-annual_008,barclays,2025-annual,profitability_earnings,asset_quality_credit,efficiency,profitability_earnings,asset_quality_credit,1
barclays_2025-q1_001,barclays,2025-q1,capital_adequacy,asset_quality_credit,mixed,capital_adequacy,asset_quality_credit,1
barclays_2025-q1_002,barclays,2025-q1,profitability_earnings,profitability_earnings,mixed,profitability_earnings,profitability_earnings,0
barclays_2025-q1_003,barclays,2025-q1,profitability_earnings,profitability_earnings,profitability,profitability_earnings,profitability_earnings,0
barclays_2025-q1_004,barclays,2025-q1,operational_efficiency,untagged,efficiency,operational_efficiency,operational_efficiency,0
barclays_2025-q1_005,barclays,2025-q1,business_model_strategy,profitability_earnings,asset_quality,business_model_strategy,profitability_earnings,1
barclays_2025-q1_006,barclays,2025-q1,profitability_earnings,untagged,mixed,profitability_earnings,,1
barclays_2025-q1_007,barclays,2025-q1,profitability_earnings,untagged,capital,profitability_earnings,capital_adequacy,1
barclays_2025-q1_008,barclays,2025-q1,capital_adequacy,capital_adequacy,capital,capital_adequacy,capital_adequacy,0
barclays_2025-q1_009,barclays,2025-q1,untagged,untagged,untagged,untagged,,1
barclays_2025-q1_010,barclays,2025-q1,business_model_strategy,capital_adequacy,profitability,business_model_strategy,capital_adequacy,1
barclays_2025-q2_001,barclays,2025-q2,capital_adequacy,market_traded_risk,capital,capital_adequacy,market_traded_risk,1
barclays_2025-q2_002,barclays,2025-q2,profitability_earnings,untagged,profitability,profitability_earnings,profitability_earnings,0
barclays_2025-q2_003,barclays,2025-q2,profitability_earnings,business_model_strategy,mixed,profitability_earnings,business_model_strategy,1
barclays_2025-q2_004,barclays,2025-q2,capital_adequacy,untagged,capital,capital_adequacy,capital_adequacy,0
barclays_2025-q2_005,barclays,2025-q2,profitability_earnings,profitability_earnings,capital,profitability_earnings,profitability_earnings,0
barclays_2025-q2_006,barclays,2025-q2,capital_adequacy,untagged,capital,capital_adequacy,capital_adequacy,0
barclays_2025-q3_001,barclays,2025-q3,profitability_earnings,untagged,untagged,profitability_earnings,,1
barclays_2025-q3_002,barclays,2025-q3,conduct_operational,conduct_operational,mixed,conduct_operational,conduct_operational,0
barclays_2025-q3_003,barclays,2025-q3,profitability_earnings,untagged,untagged,profitability_earnings,,1
barclays_2025-q3_004,barclays,2025-q3,profitability_earnings,profitability_earnings,capital,profitability_earnings,profitability_earnings,0
barclays_2025-q3_005,barclays,2025-q3,business_model_strategy,conduct_operational,capital,business_model_strategy,conduct_operational,1
barclays_2025-q3_006,barclays,2025-q3,untagged,untagged,untagged,untagged,,1
barclays_2025-q3_007,barclays,2025-q3,business_model_strategy,untagged,untagged,business_model_strategy,,1
barclays_2025-q3_008,barclays,2025-q3,capital_adequacy,untagged,capital,capital_adequacy,capital_adequacy,0
barclays_2026-q1_001,barclays,2026-q1,market_traded_risk,profitability_earnings,untagged,market_traded_risk,profitability_earnings,1
barclays_2026-q1_002,barclays,2026-q1,profitability_earnings,untagged,mixed,profitability_earnings,,1
barclays_2026-q1_003,barclays,2026-q1,operational_efficiency,untagged,efficiency,operational_efficiency,operational_efficiency,0
barclays_2026-q1_004,barclays,2026-q1,profitability_earnings,untagged,profitability,profitability_earnings,profitability_earnings,0
barclays_2026-q1_005,barclays,2026-q1,liquidity_funding,liquidity_funding,mixed,liquidity_funding,liquidity_funding,0
barclays_2026-q1_006,barclays,2026-q1,untagged,profitability_earnings,untagged,untagged,profitability_earnings,1
barclays_2026-q1_007,barclays,2026-q1,business_model_strategy,business_model_strategy,mixed,business_model_strategy,business_model_strategy,0
barclays_2026-q1_008,barclays,2026-q1,market_traded_risk,liquidity_funding,untagged,market_traded_risk,liquidity_funding,1
barclays_2026-q2_001,barclays,2026-q2,profitability_earnings,profitability_earnings,mixed,profitability_earnings,profitability_earnings,0
barclays_2026-q2_002,barclays,2026-q2,untagged,untagged,untagged,untagged,,1
barclays_2026-q2_003,barclays,2026-q2,profitability_earnings,business_model_strategy,untagged,profitability_earnings,business_model_strategy,1
barclays_2026-q2_004,barclays,2026-q2,untagged,profitability_earnings,untagged,untagged,profitability_earnings,1
barclays_2026-q2_005,barclays,2026-q2,operational_efficiency,untagged,efficiency,operational_efficiency,operational_efficiency,0
barclays_2026-q2_006,barclays,2026-q2,profitability_earnings,capital_adequacy,profitability,profitability_earnings,capital_adequacy,1
barclays_2026-q2_007,barclays,2026-q2,profitability_earnings,profitability_earnings,mixed,profitability_earnings,profitability_earnings,0
hsbc_2024-q1_001,hsbc,2024-q1,capital_adequacy,capital_adequacy,capital,capital_adequacy,capital_adequacy,0
hsbc_2024-q1_002,hsbc,2024-q1,capital_adequacy,business_model_strategy,capital,capital_adequacy,business_model_strategy,1
hsbc_2024-q1_003,hsbc,2024-q1,market_traded_risk,business_model_strategy,untagged,market_traded_risk,business_model_strategy,1
hsbc_2024-q1_004,hsbc,2024-q1,business_model_strategy,business_model_strategy,mixed,business_model_strategy,business_model_strategy,0
hsbc_2024-q1_005,hsbc,2024-q1,profitability_earnings,profitability_earnings,mixed,profitability_earnings,profitability_earnings,0
hsbc_2024-q1_006,hsbc,2024-q1,business_model_strategy,profitability_earnings,efficiency,business_model_strategy,profitability_earnings,1
hsbc_2024-q1_007,hsbc,2024-q1,profitability_earnings,profitability_earnings,capital,profitability_earnings,profitability_earnings,0
hsbc_2024-q3_001,hsbc,2024-q3,profitability_earnings,business_model_strategy,profitability,profitability_earnings,business_model_strategy,1
hsbc_2024-q3_002,hsbc,2024-q3,profitability_earnings,profitability_earnings,mixed,profitability_earnings,profitability_earnings,0
hsbc_2024-q3_003,hsbc,2024-q3,profitability_earnings,market_traded_risk,mixed,profitability_earnings,market_traded_risk,1
hsbc_2024-q3_004,hsbc,2024-q3,profitability_earnings,market_traded_risk,mixed,profitability_earnings,market_traded_risk,1
hsbc_2024-q3_005,hsbc,2024-q3,profitability_earnings,business_model_strategy,asset_quality,profitability_earnings,business_model_strategy,1
hsbc_2024-q3_006,hsbc,2024-q3,business_model_strategy,business_model_strategy,mixed,business_model_strategy,business_model_strategy,0
hsbc_2024-q3_007,hsbc,2024-q3,capital_adequacy,profitability_earnings,mixed,capital_adequacy,profitability_earnings,1
hsbc_2024-q3_008,hsbc,2024-q3,market_traded_risk,business_model_strategy,untagged,market_traded_risk,business_model_strategy,1
hsbc_2024-annual_001,hsbc,2024-annual,profitability_earnings,profitability_earnings,mixed,profitability_earnings,profitability_earnings,0
hsbc_2024-annual_002,hsbc,2024-annual,business_model_strategy,profitability_earnings,mixed,business_model_strategy,profitability_earnings,1
hsbc_2024-annual_003,hsbc,2024-annual,capital_adequacy,capital_adequacy,mixed,capital_adequacy,capital_adequacy,0
hsbc_2024-annual_004,hsbc,2024-annual,profitability_earnings,profitability_earnings,mixed,profitability_earnings,profitability_earnings,0
hsbc_2024-annual_005,hsbc,2024-annual,profitability_earnings,capital_adequacy,mixed,profitability_earnings,capital_adequacy,1
hsbc_2024-annual_006,hsbc,2024-annual,capital_adequacy,operational_efficiency,mixed,capital_adequacy,operational_efficiency,1
hsbc_2024-annual_007,hsbc,2024-annual,profitability_earnings,profitability_earnings,mixed,profitability_earnings,profitability_earnings,0
hsbc_2024-annual_008,hsbc,2024-annual,profitability_earnings,profitability_earnings,mixed,profitability_earnings,profitability_earnings,0
hsbc_2024-annual_009,hsbc,2024-annual,asset_quality_credit,asset_quality_credit,asset_quality,asset_quality_credit,asset_quality_credit,0
hsbc_2024-annual_010,hsbc,2024-annual,profitability_earnings,business_model_strategy,mixed,profitability_earnings,business_model_strategy,1
hsbc_2024-annual_011,hsbc,2024-annual,operational_efficiency,profitability_earnings,efficiency,operational_efficiency,profitability_earnings,1
hsbc_2024-interim_001,hsbc,2024-interim,profitability_earnings,business_model_strategy,mixed,profitability_earnings,business_model_strategy,1
hsbc_2024-interim_002,hsbc,2024-interim,profitability_earnings,profitability_earnings,mixed,profitability_earnings,profitability_earnings,0
hsbc_2024-interim_003,hsbc,2024-interim,business_model_strategy,business_model_strategy,untagged,business_model_strategy,business_model_strategy,0
hsbc_2024-interim_004,hsbc,2024-interim,capital_adequacy,profitability_earnings,capital,capital_adequacy,profitability_earnings,1
hsbc_2024-interim_005,hsbc,2024-interim,capital_adequacy,business_model_strategy,capital,capital_adequacy,business_model_strategy,1
hsbc_2024-interim_006,hsbc,2024-interim,untagged,business_model_strategy,untagged,untagged,business_model_strategy,1
hsbc_2024-interim_007,hsbc,2024-interim,untagged,business_model_strategy,untagged,untagged,business_model_strategy,1
hsbc_2024-interim_008,hsbc,2024-interim,capital_adequacy,capital_adequacy,mixed,capital_adequacy,capital_adequacy,0
hsbc_2024-interim_009,hsbc,2024-interim,profitability_earnings,profitability_earnings,profitability,profitability_earnings,profitability_earnings,0
hsbc_2025-q1_001,hsbc,2025-q1,profitability_earnings,business_model_strategy,efficiency,profitability_earnings,business_model_strategy,1
hsbc_2025-q1_002,hsbc,2025-q1,profitability_earnings,market_traded_risk,mixed,profitability_earnings,market_traded_risk,1
hsbc_2025-q1_003,hsbc,2025-q1,profitability_earnings,profitability_earnings,mixed,profitability_earnings,profitability_earnings,0
hsbc_2025-q1_004,hsbc,2025-q1,capital_adequacy,capital_adequacy,mixed,capital_adequacy,capital_adequacy,0
hsbc_2025-q1_005,hsbc,2025-q1,operational_efficiency,profitability_earnings,mixed,operational_efficiency,profitability_earnings,1
hsbc_2025-q1_006,hsbc,2025-q1,profitability_earnings,profitability_earnings,mixed,profitability_earnings,profitability_earnings,0
hsbc_2025-q1_007,hsbc,2025-q1,business_model_strategy,profitability_earnings,profitability,business_model_strategy,profitability_earnings,1
hsbc_2025-q1_008,hsbc,2025-q1,operational_efficiency,profitability_earnings,efficiency,operational_efficiency,profitability_earnings,1
hsbc_2025-q1_009,hsbc,2025-q1,profitability_earnings,profitability_earnings,mixed,profitability_earnings,profitability_earnings,0
hsbc_2025-q1_010,hsbc,2025-q1,business_model_strategy,business_model_strategy,untagged,business_model_strategy,business_model_strategy,0
hsbc_2025-q1_011,hsbc,2025-q1,asset_quality_credit,capital_adequacy,asset_quality,asset_quality_credit,capital_adequacy,1
hsbc_2025-q3_001,hsbc,2025-q3,profitability_earnings,business_model_strategy,profitability,profitability_earnings,business_model_strategy,1
hsbc_2025-q3_002,hsbc,2025-q3,market_traded_risk,profitability_earnings,profitability,market_traded_risk,profitability_earnings,1
hsbc_2025-q3_003,hsbc,2025-q3,asset_quality_credit,asset_quality_credit,mixed,asset_quality_credit,asset_quality_credit,0
hsbc_2025-q3_004,hsbc,2025-q3,profitability_earnings,business_model_strategy,untagged,profitability_earnings,business_model_strategy,1
hsbc_2025-q3_005,hsbc,2025-q3,profitability_earnings,profitability_earnings,profitability,profitability_earnings,profitability_earnings,0
hsbc_2025-q3_006,hsbc,2025-q3,business_model_strategy,business_model_strategy,profitability,business_model_strategy,business_model_strategy,0
hsbc_2025-q3_007,hsbc,2025-q3,profitability_earnings,capital_adequacy,mixed,profitability_earnings,capital_adequacy,1
hsbc_2025-q3_008,hsbc,2025-q3,asset_quality_credit,business_model_strategy,asset_quality,asset_quality_credit,business_model_strategy,1
hsbc_2025-q3_009,hsbc,2025-q3,profitability_earnings,business_model_strategy,profitability,profitability_earnings,business_model_strategy,1
hsbc_2025-q3_010,hsbc,2025-q3,asset_quality_credit,untagged,asset_quality,asset_quality_credit,asset_quality_credit,0
hsbc_2025-q3_011,hsbc,2025-q3,profitability_earnings,business_model_strategy,profitability,profitability_earnings,business_model_strategy,1
hsbc_2025-annual_001,hsbc,2025-annual,business_model_strategy,profitability_earnings,profitability,business_model_strategy,profitability_earnings,1
hsbc_2025-annual_002,hsbc,2025-annual,profitability_earnings,business_model_strategy,mixed,profitability_earnings,business_model_strategy,1
hsbc_2025-annual_003,hsbc,2025-annual,profitability_earnings,business_model_strategy,efficiency,profitability_earnings,business_model_strategy,1
hsbc_2025-annual_004,hsbc,2025-annual,business_model_strategy,business_model_strategy,mixed,business_model_strategy,business_model_strategy,0
hsbc_2025-annual_005,hsbc,2025-annual,capital_adequacy,capital_adequacy,mixed,capital_adequacy,capital_adequacy,0
hsbc_2025-annual_006,hsbc,2025-annual,profitability_earnings,business_model_strategy,efficiency,profitability_earnings,business_model_strategy,1
hsbc_2025-annual_007,hsbc,2025-annual,operational_efficiency,business_model_strategy,efficiency,operational_efficiency,business_model_strategy,1
hsbc_2025-annual_008,hsbc,2025-annual,profitability_earnings,profitability_earnings,mixed,profitability_earnings,profitability_earnings,0
hsbc_2025-annual_009,hsbc,2025-annual,business_model_strategy,business_model_strategy,untagged,business_model_strategy,business_model_strategy,0
hsbc_2025-annual_010,hsbc,2025-annual,profitability_earnings,profitability_earnings,profitability,profitability_earnings,profitability_earnings,0
hsbc_2025-annual_011,hsbc,2025-annual,business_model_strategy,profitability_earnings,untagged,business_model_strategy,profitability_earnings,1
hsbc_2025-annual_012,hsbc,2025-annual,business_model_strategy,business_model_strategy,untagged,business_model_strategy,business_model_strategy,0
hsbc_2025-annual_013,hsbc,2025-annual,profitability_earnings,profitability_earnings,profitability,profitability_earnings,profitability_earnings,0
hsbc_2025-interim_001,hsbc,2025-interim,profitability_earnings,profitability_earnings,mixed,profitability_earnings,profitability_earnings,0
hsbc_2025-interim_002,hsbc,2025-interim,profitability_earnings,profitability_earnings,mixed,profitability_earnings,profitability_earnings,0
hsbc_2025-interim_003,hsbc,2025-interim,asset_quality_credit,asset_quality_credit,mixed,asset_quality_credit,asset_quality_credit,0
hsbc_2025-interim_004,hsbc,2025-interim,profitability_earnings,profitability_earnings,mixed,profitability_earnings,profitability_earnings,0
hsbc_2025-interim_005,hsbc,2025-interim,capital_adequacy,profitability_earnings,capital,capital_adequacy,profitability_earnings,1
hsbc_2025-interim_006,hsbc,2025-interim,capital_adequacy,asset_quality_credit,capital,capital_adequacy,asset_quality_credit,1
hsbc_2025-interim_007,hsbc,2025-interim,profitability_earnings,capital_adequacy,profitability,profitability_earnings,capital_adequacy,1
hsbc_2025-interim_008,hsbc,2025-interim,capital_adequacy,capital_adequacy,mixed,capital_adequacy,capital_adequacy,0
hsbc_2026-q1_001,hsbc,2026-q1,business_model_strategy,profitability_earnings,untagged,business_model_strategy,profitability_earnings,1
hsbc_2026-q1_002,hsbc,2026-q1,business_model_strategy,business_model_strategy,mixed,business_model_strategy,business_model_strategy,0
hsbc_2026-q1_003,hsbc,2026-q1,profitability_earnings,profitability_earnings,mixed,profitability_earnings,profitability_earnings,0
hsbc_2026-q1_004,hsbc,2026-q1,profitability_earnings,profitability_earnings,profitability,profitability_earnings,profitability_earnings,0
hsbc_2026-q1_005,hsbc,2026-q1,asset_quality_credit,business_model_strategy,asset_quality,asset_quality_credit,business_model_strategy,1
hsbc_2026-q1_006,hsbc,2026-q1,capital_adequacy,capital_adequacy,capital,capital_adequacy,capital_adequacy,0
hsbc_2026-q1_007,hsbc,2026-q1,business_model_strategy,business_model_strategy,untagged,business_model_strategy,business_model_strategy,0
hsbc_2026-q1_008,hsbc,2026-q1,business_model_strategy,asset_quality_credit,efficiency,business_model_strategy,asset_quality_credit,1
hsbc_2026-q1_009,hsbc,2026-q1,profitability_earnings,profitability_earnings,profitability,profitability_earnings,profitability_earnings,0
hsbc_2026-interim_001,hsbc,2026-interim,business_model_strategy,profitability_earnings,efficiency,business_model_strategy,profitability_earnings,1
hsbc_2026-interim_002,hsbc,2026-interim,profitability_earnings,profitability_earnings,profitability,profitability_earnings,profitability_earnings,0
hsbc_2026-interim_003,hsbc,2026-interim,business_model_strategy,profitability_earnings,untagged,business_model_strategy,profitability_earnings,1
hsbc_2026-interim_004,hsbc,2026-interim,business_model_strategy,profitability_earnings,profitability,business_model_strategy,profitability_earnings,1
hsbc_2026-interim_005,hsbc,2026-interim,profitability_earnings,profitability_earnings,mixed,profitability_earnings,profitability_earnings,0
hsbc_2026-interim_006,hsbc,2026-interim,operational_efficiency,business_model_strategy,mixed,operational_efficiency,business_model_strategy,1
hsbc_2026-interim_007,hsbc,2026-interim,business_model_strategy,business_model_strategy,untagged,business_model_strategy,business_model_strategy,0
hsbc_2026-interim_008,hsbc,2026-interim,operational_efficiency,profitability_earnings,mixed,operational_efficiency,profitability_earnings,1
hsbc_2026-interim_009,hsbc,2026-interim,capital_adequacy,capital_adequacy,capital,capital_adequacy,capital_adequacy,0
hsbc_2026-interim_010,hsbc,2026-interim,capital_adequacy,profitability_earnings,mixed,capital_adequacy,profitability_earnings,1
hsbc_2026-interim_001,hsbc,2026-interim,capital_adequacy,business_model_strategy,mixed,capital_adequacy,business_model_strategy,1
hsbc_2026-interim_002,hsbc,2026-interim,operational_efficiency,business_model_strategy,mixed,operational_efficiency,business_model_strategy,1
hsbc_2026-interim_003,hsbc,2026-interim,profitability_earnings,business_model_strategy,mixed,profitability_earnings,business_model_strategy,1
hsbc_2026-interim_004,hsbc,2026-interim,business_model_strategy,business_model_strategy,mixed,business_model_strategy,business_model_strategy,0
hsbc_2026-interim_005,hsbc,2026-interim,operational_efficiency,business_model_strategy,efficiency,operational_efficiency,business_model_strategy,1
hsbc_2026-interim_006,hsbc,2026-interim,market_traded_risk,market_traded_risk,capital,market_traded_risk,market_traded_risk,0
hsbc_2026-interim_007,hsbc,2026-interim,asset_quality_credit,business_model_strategy,mixed,asset_quality_credit,business_model_strategy,1
hsbc_2026-interim_008,hsbc,2026-interim,business_model_strategy,business_model_strategy,untagged,business_model_strategy,business_model_strategy,0
hsbc_2026-interim_009,hsbc,2026-interim,liquidity_funding,market_traded_risk,untagged,liquidity_funding,market_traded_risk,1
